Period,Subject,Type,Cost,randomInput,periodPaid1,periodPaid2,treatmentOrder
1,1,1,16,.167461,4,5,1
1,2,2,15,.0408524,4,5,1
1,3,1,19,.4522409,4,5,1
1,4,1,35,.4440903,4,5,1
1,5,2,81,.3250756,4,5,1
1,6,1,67,.1923578,4,5,1
1,7,2,71,.2562496,4,5,1
1,8,1,38,.4849251,4,5,1
1,9,1,68,.4002224,4,5,1
1,10,2,47,.809414,4,5,1
1,11,2,63,.6006024,4,5,1
1,12,2,19,.6389627,4,5,1
1,13,1,98,.7206018,4,5,1
1,14,1,98,.2832353,4,5,1
1,15,2,78,.0036497,4,5,1
1,16,2,35,.9774162,4,5,1
2,1,1,48,.7617334,4,5,1
2,2,2,79,.2248092,4,5,1
2,3,1,13,.7693293,4,5,1
2,4,2,37,.260048,4,5,1
2,5,2,76,.6519851,4,5,1
2,6,2,72,.532102,4,5,1
2,7,1,85,.3344677,4,5,1
2,8,1,83,.1211363,4,5,1
2,9,2,26,.4891476,4,5,1
2,10,1,85,.3965322,4,5,1
2,11,2,41,.8244756,4,5,1
2,12,2,75,.9760678,4,5,1
2,13,1,47,.8998217,4,5,1
2,14,2,28,.5014899,4,5,1
2,15,1,70,.4928644,4,5,1
2,16,1,43,.6292479,4,5,1
3,1,1,11,.0951215,4,5,1
3,2,2,68,.931536,4,5,1
3,3,2,86,.4124513,4,5,1
3,4,1,30,.7204812,4,5,1
3,5,1,29,.1152318,4,5,1
3,6,2,13,.3404004,4,5,1
3,7,1,71,.5532488,4,5,1
3,8,2,73,.7111534,4,5,1
3,9,1,49,.3953375,4,5,1
3,10,1,19,.7840273,4,5,1
3,11,2,19,.6865453,4,5,1
3,12,2,55,.3783554,4,5,1
3,13,2,64,.5103934,4,5,1
3,14,2,77,.7802744,4,5,1
3,15,1,14,.8724302,4,5,1
3,16,1,78,.1905014,4,5,1
4,1,1,59,.5640696,4,5,1
4,2,2,19,.9414803,4,5,1
4,3,1,15,.0951625,4,5,1
4,4,1,12,.6693043,4,5,1
4,5,2,27,.5816357,4,5,1
4,6,1,37,.8079574,4,5,1
4,7,1,76,.0098755,4,5,1
4,8,2,46,.9666455,4,5,1
4,9,2,74,.1056593,4,5,1
4,10,1,86,.1998734,4,5,1
4,11,2,38,.7671494,4,5,1
4,12,2,80,.2610185,4,5,1
4,13,2,39,.7281582,4,5,1
4,14,1,28,.3085807,4,5,1
4,15,1,88,.7679735,4,5,1
4,16,2,29,.8682166,4,5,1
5,1,2,29,.8242807,4,5,1
5,2,2,69,.7070116,4,5,1
5,3,1,98,.3603221,4,5,1
5,4,1,42,.7710214,4,5,1
5,5,2,55,.7276732,4,5,1
5,6,2,44,.652207,4,5,1
5,7,1,77,.7320037,4,5,1
5,8,1,59,.9840873,4,5,1
5,9,2,66,.2246233,4,5,1
5,10,2,97,.7255631,4,5,1
5,11,1,23,.4104131,4,5,1
5,12,2,82,.6771978,4,5,1
5,13,1,32,.8228999,4,5,1
5,14,1,40,.7254373,4,5,1
5,15,1,29,.4199398,4,5,1
5,16,2,88,.4723901,4,5,1
6,1,1,59,.970094,4,5,1
6,2,2,40,.4426736,4,5,1
6,3,1,50,.241094,4,5,1
6,4,1,30,.1213935,4,5,1
6,5,1,13,.3304172,4,5,1
6,6,2,68,.7822655,4,5,1
6,7,2,73,.1955574,4,5,1
6,8,1,12,.0049663,4,5,1
6,9,1,90,.7401124,4,5,1
6,10,2,14,.7447639,4,5,1
6,11,1,82,.4448381,4,5,1
6,12,2,30,.326678,4,5,1
6,13,2,74,.1097488,4,5,1
6,14,2,72,.5278621,4,5,1
6,15,2,11,.1948612,4,5,1
6,16,1,15,.738974,4,5,1
7,1,1,89,.9864318,4,5,1
7,2,2,70,.9588686,4,5,1
7,3,2,28,.6866877,4,5,1
7,4,1,92,.9812971,4,5,1
7,5,1,88,.2142393,4,5,1
7,6,2,67,.4370196,4,5,1
7,7,2,20,.05233,4,5,1
7,8,1,67,.6551656,4,5,1
7,9,1,58,.7526801,4,5,1
7,10,2,69,.5232733,4,5,1
7,11,1,65,.007447,4,5,1
7,12,1,66,.9615353,4,5,1
7,13,1,16,.30088,4,5,1
7,14,2,59,.2275975,4,5,1
7,15,2,64,.3496216,4,5,1
7,16,2,51,.9123639,4,5,1
8,1,2,48,.5284308,4,5,1
8,2,1,56,.6998363,4,5,1
8,3,1,65,.11286,4,5,1
8,4,1,50,.9292839,4,5,1
8,5,1,18,.9620849,4,5,1
8,6,2,73,.3138035,4,5,1
8,7,2,49,.4732074,4,5,1
8,8,2,24,.5160652,4,5,1
8,9,1,48,.8369649,4,5,1
8,10,2,34,.4092225,4,5,1
8,11,1,44,.8765048,4,5,1
8,12,1,14,.1384864,4,5,1
8,13,2,89,.723155,4,5,1
8,14,2,63,.4007832,4,5,1
8,15,1,88,.3081646,4,5,1
8,16,2,24,.3937946,4,5,1
9,1,2,53,.0248405,4,5,1
9,2,1,54,.8191228,4,5,1
9,3,2,43,.7036682,4,5,1
9,4,1,87,.7003322,4,5,1
9,5,2,55,.6159594,4,5,1
9,6,2,15,.0695252,4,5,1
9,7,2,83,.9011157,4,5,1
9,8,1,24,.5317161,4,5,1
9,9,1,33,.7153805,4,5,1
9,10,1,67,.2685848,4,5,1
9,11,2,39,.4438559,4,5,1
9,12,1,77,.2718628,4,5,1
9,13,1,32,.701764,4,5,1
9,14,2,77,.7478908,4,5,1
9,15,2,61,.6579552,4,5,1
9,16,1,45,.7381268,4,5,1
10,1,2,57,.7907952,4,5,1
10,2,2,17,.3514897,4,5,1
10,3,1,11,.870948,4,5,1
10,4,1,33,.1417144,4,5,1
10,5,1,79,.6972111,4,5,1
10,6,2,17,.3861263,4,5,1
10,7,2,83,.2476826,4,5,1
10,8,2,69,.568721,4,5,1
10,9,2,80,.7151526,4,5,1
10,10,1,98,.873254,4,5,1
10,11,1,99,.6638318,4,5,1
10,12,1,16,.2258533,4,5,1
10,13,1,72,.1413731,4,5,1
10,14,2,68,.8457798,4,5,1
10,15,2,66,.7395936,4,5,1
10,16,1,73,.0186393,4,5,1
11,1,1,19,.2357,4,5,1
11,2,2,19,.4233325,4,5,1
11,3,1,49,.4387624,4,5,1
11,4,2,27,.5846358,4,5,1
11,5,2,52,.3745485,4,5,1
11,6,1,70,.3925165,4,5,1
11,7,1,75,.774129,4,5,1
11,8,1,79,.3600729,4,5,1
